title,yid,public_date,event,nview,nlike,ndislike,ncomment
Our immigration conversation is broken -- here's how to have a better one | Paul A. Kramer,sf3adAPotrM,"Dec 2, 2019",TED,"49,388 views",866 likes,438 dislikes,380 Comments
Evan Grant: Making sound visible through cymatics,CsjV1gjBMbQ,"Sep 9, 2009",TED,"247,133 views","2,374 likes",66 dislikes,240 Comments
Chrystia Freeland: The rise of the new global super-rich,d6NKdnZvdoo,"Sep 5, 2013",TED,"373,356 views","4,721 likes",944 dislikes,"1,807 Comments"
Reducing corruption takes a specific kind of investment | Efosa Ojomo,jltYcaQ24q4,"Oct 28, 2019",TED,"38,299 views","1,651 likes",31 dislikes,127 Comments
What if gentrification was about healing communities instead of displacing them? | Liz Ogbu,M5PiTCwoQRo,"Apr 12, 2018",TED,"66,423 views","1,231 likes",608 dislikes,331 Comments
"Political common ground in a polarized United States | Gretchen Carlson, David Brooks",mkd_XHXhCcw,"Apr 27, 2017",TED,"40,768 views",681 likes,116 dislikes,211 Comments
Ross Lovegrove: The power and beauty of organic design,sWqkKYwvTNw,"Jan 16, 2007",TED,"97,419 views",542 likes,48 dislikes,50 Comments
A one-man musical phenomenon | Jacob Collier,dDZoGcQVjJg,"Feb 7, 2018",TED,"850,341 views","27,772 likes",505 dislikes,"1,581 Comments"
How a male contraceptive pill could work | John Amory,7MHOk7qVhYs,"May 22, 2018",TED,"67,120 views","2,388 likes",135 dislikes,415 Comments
The politics of fiction | Elif Shafak,Zq7QPnqLoUk,"Jul 19, 2010",TED,"324,197 views","5,532 likes",180 dislikes,338 Comments
"Ricardo Semler: Radical wisdom for a company, a school, a life",k4vzhweOefs,"Feb 10, 2015",TED,"335,556 views","5,566 likes",76 dislikes,183 Comments
A new way to heal hearts without surgery | Franz Freudenthal,IYDqtxvKDW4,"Sep 30, 2016",TED,"105,658 views","2,322 likes",43 dislikes,126 Comments
Blaise Aguera y Arcas: Jaw-dropping Photosynth demo,M-8k8GEGZPM,"Jun 25, 2007",TED,"41,041 views",372 likes,12 dislikes,26 Comments
Eric Topol: The wireless future of medicine,pTZM9X3JfTk,"Feb 23, 2010",TED,"45,700 views",368 likes,33 dislikes,58 Comments
"Urban architecture inspired by mountains, clouds and volcanoes | Ma Yansong",fFJeTy1_8Ng,"Nov 29, 2019",TED,"108,285 views","4,718 likes",63 dislikes,188 Comments
Art That Lets You Talk Back to NSA Spies | Mathias Jud | TED Talks,Xv2gHiX9Bqw,"Nov 20, 2015",TED,"73,226 views","1,185 likes",72 dislikes,90 Comments
How fear of nuclear power is hurting the environment | Michael Shellenberger,LZXUR4z2P9w,"Oct 5, 2016",TED,"502,360 views","20,646 likes","1,133 dislikes","4,310 Comments"
Jason Clay: How big brands can help save biodiversity,jcp5vvxtEaU,"Aug 16, 2010",TED,"57,908 views",551 likes,34 dislikes,99 Comments
How We Can Make the World a Better Place by 2030 | Michael Green | TED Talks,o08ykAqLOxk,"Nov 3, 2015",TED,"915,379 views","12,088 likes",744 dislikes,"1,235 Comments"
A lesson in turning adversaries into allies | Leah Garcés,kmIZeEu-3CY,"Oct 1, 2020",TED,"67,168 views","2,264 likes",195 dislikes,243 Comments
"The incredible potential of flexible, soft robots | Giada Gerboni",AI7M-JTC6_w,"Jul 5, 2018",TED,"132,368 views","3,374 likes",99 dislikes,195 Comments
Bruce McCall: Nostalgia for a future that never happened,fOk6HQaNpdE,"Mar 20, 2009",TED,"70,751 views","1,065 likes",61 dislikes,61 Comments
Bono: Action for Africa,1VOlXwhp00Y,"Jan 12, 2007",TED,"60,967 views",290 likes,31 dislikes,88 Comments
David Pogue: Cool new things you can do with your mobile,mJxA8eIWQUc,"Mar 25, 2009",TED,"99,082 views",736 likes,100 dislikes,109 Comments
"The wonders of the molecular world, animated | Janet Iwasa",ppjXgm4t9ko,"May 6, 2020",TED,"69,934 views","2,601 likes",38 dislikes,106 Comments
How tech companies can help combat the pandemic and reshape public health | Karen DeSalvo,OfMgKdhkaog,"Jun 26, 2020",TED,"42,953 views",577 likes,119 dislikes,106 Comments
"The weird history of the ""sex chromosomes"" | Molly Webster",W2y7osVtIX8,"Apr 21, 2020",TED,"124,909 views","2,156 likes",454 dislikes,446 Comments
Claron McFadden: Singing the primal mystery,l3uttHEZnTY,"Mar 28, 2011",TED,"41,599 views",455 likes,112 dislikes,116 Comments
How to lead a conversation between people who disagree | Eve Pearlman,3BDF7cD2M6g,"Apr 22, 2019",TED,"147,356 views","2,572 likes",238 dislikes,156 Comments
Sarah-Jayne Blakemore: The mysterious workings of the adolescent brain,6zVS8HIPUng,"Sep 17, 2012",TED,"519,332 views","3,433 likes",116 dislikes,207 Comments
What reading slowly taught me about writing | Jacqueline Woodson,HzAtOyw6ACw,"Oct 8, 2019",TED,"147,270 views","4,442 likes",146 dislikes,247 Comments
Sara Seager: The search for planets beyond our solar system,k8OgHJ4WXR0,"May 28, 2015",TED,"97,900 views","1,896 likes",42 dislikes,169 Comments
Let's get honest about our money problems | Tammy Lally,jlhtTKPkg5M,"Sep 21, 2018",TED,"137,483 views","3,053 likes",203 dislikes,301 Comments
Jonathan Haidt: The moral roots of liberals and conservatives,vs41JrnGaxc,"Sep 18, 2008",TED,"551,951 views","8,209 likes",473 dislikes,"1,483 Comments"
"Thoughts on humanity, fame and love | Shah Rukh Khan",0NV1KdWRHck,"May 11, 2017",TED,"7,560,938 views","219,492 likes","5,205 dislikes","9,194 Comments"
Amory Lovins: We must win the oil endgame,kMTCNOlozTA,"Jan 9, 2008",TED,"55,154 views",384 likes,22 dislikes,72 Comments
This tiny particle could roam your body to find tumors | Sangeeta Bhatia,_bphPa7Wp4c,"Jun 7, 2016",TED,"104,915 views","2,346 likes",86 dislikes,180 Comments
How motivation can fix public systems | Abhishek Gopalka,IGJt7QmtUOk,"Feb 15, 2020",TED,"73,414 views","1,649 likes",58 dislikes,105 Comments
3 secrets to Netflix's success | Reed Hastings and Chris Anderson,9w0PL2_-oAE,"Sep 8, 2020",TED,"50,409 views","1,001 likes",70 dislikes,108 Comments
David Sengeh: The sore problem of prosthetic limbs,rvkMauaHxBw,"Apr 10, 2014",TED,"71,308 views","1,267 likes",27 dislikes,50 Comments
Jonathan Trent: Energy from floating algae pods,X-HE4Hfa-OY,"Sep 28, 2012",TED,"161,464 views","2,859 likes",74 dislikes,271 Comments
Willie Smits: How to restore a rainforest,3vfuCPFb8wk,"Mar 3, 2009",TED,"145,400 views","2,320 likes",36 dislikes,199 Comments
How to keep human bias out of AI | Kriti Sharma,BRRNeBKwvNM,"Apr 12, 2019",TED,"75,271 views","1,704 likes",474 dislikes,369 Comments
"Peter Molyneux demos Milo, the virtual boy",Uieh3RfkCng,"Aug 18, 2010",TED,"148,651 views",614 likes,309 dislikes,412 Comments
Thomas Barnett: Rethinking America's military strategy,d3xlb6_0OEs,"Apr 15, 2008",TED,"134,376 views","1,034 likes",170 dislikes,335 Comments
"Matthew O'Reilly: ""Am I dying?"" The honest answer.",IaMnRrrQx48,"Sep 25, 2014",TED,"277,744 views","3,797 likes",105 dislikes,222 Comments
What it takes to launch a telescope | Erika Hamden,aVOJA8qI7oo,"Jun 27, 2019",TED,"38,053 views","1,467 likes",62 dislikes,102 Comments
Meet the inventor of the electronic spreadsheet | Dan Bricklin,YDvbDiJZpy0,"Feb 1, 2017",TED,"116,966 views","3,377 likes",38 dislikes,122 Comments
